"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","25","0","95","95"
"Farm Credit System Insurance Corporation","Agency Overall","2024","0","0","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2024","4","0","2","2"
"Office of Management and Budget","Agency Overall","2024","0","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2024","0","0","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2024","0","1","<1","<1"
"Merit Systems Protection Board","Agency Overall","2024","0","1","1","1"
"Council on Environmental Quality","Agency Overall","2024","0","0","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2024","0","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2024","3","5","6","5"
"United States African Development Foundation","Agency Overall","2024","0","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2024","0","0","N/A","N/A"
"Social Security Administration","Agency Overall","2024","8","625","22","11"
"Armed Forces Retirement Home","Agency Overall","2024","0","0","N/A","N/A"
"General Services Administration","Agency Overall","2024","16","98","6","23.64"
"Department of the Interior","Agency Overall","2024","1127","145","2","15.14"
"Peace Corps","Agency Overall","2024","106","0","0","19.32"
"Department of Agriculture","Agency Overall","2024","905","72","1","34.54"
"U.S. Agency for Global Media","Agency Overall","2024","0","0","N/A","N/A"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","0","0","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2024","0","0","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","0","0","N/A","N/A"
"U.S. International Development Finance Corporation","Agency Overall","2024","7","0","5","4.86"
"All agencies","Agency Overall","2024","14259","10441","N/A","N/A"
