"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Advisory Council on Historic Preservation","Agency Overall","2024","65","75","7","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2024","26","25","6","57","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2024","4","5.86","<1","20","32","71.27","<1","1059","445","445","445","445"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2024","3","4","1","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2024","8","11.07","<1","736","21.5","52.26","<1","1727","N/A","N/A","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2024","1","1.13","<1","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2024","11","12","2","61","79","79","79","79","N/A","N/A","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2024","15.5","79.19","<1","2649","43","265.88","1","2430","<1",".86","<1","222"
"Federal Trade Commission","Agency Overall","2024","3","6.88","<1","159","16","31.49","<1","419","6","7.09","<1","36"
"Department of Commerce","Agency Overall","2024","7","33.7","<1","1034","68","229.4","<1","1787","158.5","386.3","3","1751"
"Department of Housing and Urban Development","Agency Overall","2024","6.00","7.31","<1","36","6.00","62.60","<1","1986","14.00","26.64","0","144"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","1","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","10","10.28","1","29","12","12.56","1","67","N/A","N/A","N/A","N/A"
"United States Access Board","Agency Overall","2024","15","26","<1","143","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of the Treasury","Agency Overall","2024","2","11.07","<1","807","2","258.16","<1","2519","1191.5","843.4","2","1666"
"Department of Homeland Security","Agency Overall","2024","3","5","<1","34","28","57","<1","2086","35","105","<1","1252"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","88","88","6","167","76","80","5","285","N/A","N/A","N/A","N/A"
"United States International Trade Commission","Agency Overall","2024","18","16","2","20","22","52","21","471","N/A","N/A","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2024","10","27.6","<1","1760","59","160.83","<1","1855","45","95.71","1","469"
"Marine Mammal Commission","Agency Overall","2024","22","28","5","245","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2024","7.00","18.14","<1","1057","11.00","52.83","<1","1794","11.00","36.32","<1","582"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","19","19","19","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Postal Service","Agency Overall","2024","3","13.04","<1","748","46","154.27","<1","873","30","166","6","598"
"Occupational Safety and Health Review Commission","Agency Overall","2024","1","4","1","20","26","30","5","64","N/A","N/A","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2024","18","15.42","<1","29","81","133.52","26","574","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2024","16","17","2","40","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2024","7.05","52.02","<1","727","589","400","<1","1399","1","65","<1","775"
"Office of Personnel Management","Agency Overall","2024","10","42.64","<1","839","88","194.15","<1","1121","N/A","N/A","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2024","9.5","9.75","<1","20","77","98.91","21","273","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2024","78","78.43","4","222","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Inter-American Foundation","Agency Overall","2024","69","20","2","85","162","162","160","164","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2024","N/A","N/A","N/A","N/A","11","12","1","72","N/A","N/A","N/A","N/A"
"Denali Commission","Agency Overall","2024","3","3","1","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","58","89","<1","238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2024","8","40.48","<1","1413","47","109.36","<1","1617","N/A","N/A","N/A","N/A"
"Presidio Trust","Agency Overall","2024","45","75","1","265","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2024","2","7.73","1","187","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Department of State","Agency Overall","2024","10.0","17.34","<1","1221","97","564.22","<1","4351","199","530.28","18","2117"
"Federal Housing Finance Agency","Agency Overall","2024","13","28.32","1","589","85","146.86","2","638","N/A","N/A","N/A","N/A"
"Small Business Administration","Agency Overall","2024","4","27.53","<1","1120","136","134.54","19","268","5","25.43","<1","305"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","1","3.2","1","16","19","35.2","1","279","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2024","9","26.8","1","143","N/A","N/A","N/A","N/A","2","9.3","2","24"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","68","62","14","127","83","99","13","261","N/A","N/A","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2024","11","35.23","<1","461","72","151.19","<1","653","N/A","N/A","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2024","2.00","40.92","<1","2911","3.00","50.83","<1","2500","8.50","39.93","<1","700"
"United States Institute of Peace","Agency Overall","2024","151","119","19","157","279","277","263","290","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2024","6","5.75","1","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","264.5","360","1","892","452.5","392","1","1735","29","29","29","29"
"National Archives and Records Administration","Agency Overall","2024","3","29","1","3004","2444","2183","1","6645","1","355","1","588"
"Department of Education","Agency Overall","2024","8.00","46.39","<1","1218","28.00","155.82","<1","1760","563.00","671.00","47","1403"
"National Endowment for the Arts","Agency Overall","2024","20","19","3","30","24","24","15","39","N/A","N/A","N/A","N/A"
"National Council on Disability","Agency Overall","2024","19","25","<1","135","142","140","46","224","N/A","N/A","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2024","2","7.7","<1","215","10","22.9","<1","430","319","319","202","436"
"Export-Import Bank of the U.S.","Agency Overall","2024","8","10.92","<1","67","101","125.42","15","738","N/A","N/A","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","17","105","1","1068","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","61","61","29","396","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2024","15","15","1","40","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2024","9.5","26.343","1","158","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Management and Budget","Agency Overall","2024","112","350","1","1789","51","346","1","1782","637","637","499","775"
"National Capital Planning Commission","Agency Overall","2024","10","16.21","1","42","N/A","N/A","0","0","2","3.33","1","7"
"Central Intelligence Agency","Agency Overall","2024","10","11.38","<1","124","108.50","234.46","2","3278","107","107","107","107"
"Merit Systems Protection Board","Agency Overall","2024","3.00","13.01","<1","170","128.00","284.56","<1","1900","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2024","28","61.36","2","899","14","131.89","1","919","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2024","1","2.15","<1","17","12","23.46","<1","247","9","9","9","9"
"National Indian Gaming Commission","Agency Overall","2024","2","10","1","48","49","121","18","622","N/A","N/A","N/A","N/A"
"United States African Development Foundation","Agency Overall","2024","90","106","90","167","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2024","20","29","2","131","89","96","37","253","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2024","12","13","<1","178","43","89","<1","756","22","21","6","34"
"Armed Forces Retirement Home","Agency Overall","2024","19","10","1","38","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2024","28","72.67","<1","1223","55","187.60","<1","1240","376","369.25","2","1223"
"Department of the Interior","Agency Overall","2024","20","132.43","<1","1774","95.5","335.46","<1","1854","28","223.09","2","1871"
"Peace Corps","Agency Overall","2024","2","59.2","<1","1108","16","82.6","<1","1030","14","14","<1","30"
"Department of Agriculture","Agency Overall","2024","1","21","<1","1421","68","179.18","<1","1511","18","72.88","<1","1023"
"U.S. Agency for Global Media","Agency Overall","2024","2","5","<1","30","15","33","<1","674","N/A","N/A","N/A","N/A"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","17","19","1","44","6","15.56","16","121","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2024","15.5","24.1","<1","193","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","37","43","3","122","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. International Development Finance Corporation","Agency Overall","2024","23","27.35","2","153","113.5","333.2","22","1068","N/A","N/A","N/A","N/A"
