"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Armed Forces Retirement Home","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"General Services Administration","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-25","3","2024-09-19","7","2024-09-12","12"
"Department of the Interior","Agency Overall","2024","2024-09-06","16","2024-09-03","19","2024-08-28","22","2024-08-20","28","2024-08-13","33","2024-08-13","33","2024-06-18","71","2024-04-02","125","2024-01-12","180","2021-12-08","703"
"Peace Corps","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Agriculture","Agency Overall","2024","2024-04-16","115","2024-04-04","123","2024-02-29","148","2024-01-26","171","2024-01-18","177","2024-01-08","184","2024-11-29","210","2023-11-28","211","2023-10-03","248","2023-09-20","257"
"U.S. Agency for Global Media","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-24","5"
"U.S. Railroad Retirement Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. International Development Finance Corporation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-30","1"
