"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","0","0","N/A","N/A","0"
"Department of Defense","Agency Overall","2024","602","1362","3","30.25","1599"
"Federal Mediation and Conciliation Service","Agency Overall","2024","0","7","9","8.14","5"
"Advisory Council on Historic Preservation","Agency Overall","2024","0","0","N/A","N/A","0"
"Federal Financial Institutions Examination Council","Agency Overall","2024","0","0","N/A","N/A","0"
"Securities and Exchange Commission","Agency Overall","2024","0","353","3","5.09","336"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2024","0","0","N/A","N/A","0"
"Equal Employment Opportunity Commission","Agency Overall","2024","0","0","N/A","N/A","0"
"Administrative Conference of the United States","Agency Overall","2024","0","0","N/A","N/A","0"
"Appraisal Subcommittee","Agency Overall","2024","0","1","10","10","1"
"Office of the Director of National Intelligence","Agency Overall","2024","4","12","5","7.5","10"
"Federal Trade Commission","Agency Overall","2024","25","101","2","9.35","102"
"Department of Commerce","Agency Overall","2024","22","128","1","9.8","122"
"Department of Housing and Urban Development","Agency Overall","2024","35","42","2","9.05","57"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","0","0","N/A","N/A","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","0","117","5","6.52","97"
"United States Access Board","Agency Overall","2024","0","0","N/A","N/A","0"
"Department of the Treasury","Agency Overall","2024","55","439","2.00","6.80","392"
"Department of Homeland Security","Agency Overall","2024","418","54877","11","103","54404"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","0","0","N/A","N/A","0"
"United States International Trade Commission","Agency Overall","2024","0","0","N/A","N/A","0"
"Environmental Protection Agency","Agency Overall","2024","15","293","1","4.13","284"
"Marine Mammal Commission","Agency Overall","2024","0","0","N/A","N/A","0"
"Department of Labor","Agency Overall","2024","76","243","8.00","33.55","176"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","0","0","N/A","N/A","0"
"United States Postal Service","Agency Overall","2024","3","155","1","5.51","150"
"Occupational Safety and Health Review Commission","Agency Overall","2024","0","0","N/A","N/A","0"
"Tennessee Valley Authority","Agency Overall","2024","0","1","10","10","1"
"Farm Credit Administration","Agency Overall","2024","0","2","15","22","0"
"National Railroad Passenger Corporation","Agency Overall","2024","44","157","2","37.88","136"
"Office of Personnel Management","Agency Overall","2024","0","37","<1","0.54","37"
"National Endowment for the Humanities","Agency Overall","2024","0","4","1","1.75","4"
"Legal Services Corporation","Agency Overall","2024","0","0","N/A","N/A","0"
"Inter-American Foundation","Agency Overall","2024","0","0","N/A","N/A","0"
"Federal Election Commission","Agency Overall","2024","0","0","N/A","N/A","0"
"Denali Commission","Agency Overall","2024","0","0","N/A","N/A","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","0","0","N/A","N/A","0"
"Consumer Product Safety Commission","Agency Overall","2024","2","55","5","17.56","45"
"Presidio Trust","Agency Overall","2024","0","0","N/A","N/A","0"
"Postal Regulatory Commission","Agency Overall","2024","0","0","N/A","N/A","0"
"U.S. Department of State","Agency Overall","2024","213","790","22","31.5","138"
"Federal Housing Finance Agency","Agency Overall","2024","0","8","2","6.62","6"
"Small Business Administration","Agency Overall","2024","26","60","14","21.95","36"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","0","0","N/A","N/A","0"
"Office of Government Ethics","Agency Overall","2024","4","0","3.5","5","3"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","0","1","10","10","1"
"National Transportation Safety Board","Agency Overall","2024","0","20","1","6.05","19"
"Department of Veterans Affairs","Agency Overall","2024","71","361","4.00","17.68","301"
"United States Institute of Peace","Agency Overall","2024","0","0","N/A","N/A","0"
"National Mediation Board","Agency Overall","2024","0","0","N/A","N/A","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","1","1","1","1","2"
"National Archives and Records Administration","Agency Overall","2024","1","83","7","10","78"
"Department of Education","Agency Overall","2024","1","175","<1","12.48","162"
"National Endowment for the Arts","Agency Overall","2024","0","7","7","7","7"
"National Council on Disability","Agency Overall","2024","0","0","N/A","N/A","0"
"National Aeronautics and Space Administration","Agency Overall","2024","2","34","1","24.2","33"
"Export-Import Bank of the U.S.","Agency Overall","2024","0","2","1","1","2"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","1","4","15","12","1"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","0","0","N/A","N/A","0"
"Farm Credit System Insurance Corporation","Agency Overall","2024","0","0","N/A","N/A","0"
"United States International Boundary and Water Commission","Agency Overall","2024","0","2","2","2","2"
"Office of Management and Budget","Agency Overall","2024","7","13","7","11","17"
"National Capital Planning Commission","Agency Overall","2024","3","0","2","3.33","3"
"Central Intelligence Agency","Agency Overall","2024","1","105","3","7.7","80"
"Merit Systems Protection Board","Agency Overall","2024","0","23","0","3.3","21"
"Council on Environmental Quality","Agency Overall","2024","0","12","2","7.92","9"
"Commodity Futures Trading Commission","Agency Overall","2024","1","4","8","5.6","5"
"National Indian Gaming Commission","Agency Overall","2024","0","5","8","5","5"
"United States African Development Foundation","Agency Overall","2024","0","0","N/A","N/A","0"
"Office of the United States Trade Representative","Agency Overall","2024","0","11","6","4","11"
"Social Security Administration","Agency Overall","2024","18","386","11","16","194"
"Armed Forces Retirement Home","Agency Overall","2024","0","0","N/A","N/A","0"
"General Services Administration","Agency Overall","2024","3","132","5","14.45","104"
"Department of the Interior","Agency Overall","2024","69","628","6","59.58","429"
"Peace Corps","Agency Overall","2024","7","0","1","4.71","6"
"Department of Agriculture","Agency Overall","2024","60","247","4","17.81","255"
"U.S. Agency for Global Media","Agency Overall","2024","0","1","8","8","1"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","0","0","N/A","N/A","0"
"U.S. Railroad Retirement Board","Agency Overall","2024","0","0","N/A","N/A","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","0","0","N/A","N/A","0"
"U.S. International Development Finance Corporation","Agency Overall","2024","0","1","10","10","1"
"All agencies","Agency Overall","2024","2796","67404","N/A","N/A","65747"
