"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Farm Credit Administration","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Railroad Passenger Corporation","Agency Overall","2024","N/A","0","2024-08-30","20","2023-07-26","296","2023-07-26","296","2023-07-26","296","2023-07-26","296","2023-07-26","296","2023-07-26","296","2023-07-26","296","2020-06-15","1080"
"Office of Personnel Management","Agency Overall","2024","2024-08-19","29","2024-08-14","32","2024-06-20","70","2024-03-01","147","2024-02-23","152","2023-10-30","230","2023-09-22","255","2023-04-06","372","2022-11-02","477","2022-10-06","495"
"National Endowment for the Humanities","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-05-16","93"
"Legal Services Corporation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Inter-American Foundation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Election Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Denali Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Consumer Product Safety Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-05-13","96"
"Presidio Trust","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Postal Regulatory Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Department of State","Agency Overall","2024","2017-12-12","1706","2017-10-03","1753","2017-10-03","1753","2017-10-03","1753","2017-07-07","1814","2017-03-24","1887","2017-03-06","1901","2016-11-28","1967","2015-06-11","2085","2016-05-02","2111"
"Federal Housing Finance Agency","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-30","0"
"Small Business Administration","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Government Ethics","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Transportation Safety Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Veterans Affairs","Agency Overall","2024","2021-11-29","711","2021-11-17","719","2021-11-02","729","2021-10-20","738","2021-09-28","753","2021-07-28","796","2021-07-09","809","2021-04-15","868","2021-04-05","876","2019-05-22","1343"
"United States Institute of Peace","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Mediation Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Archives and Records Administration","Agency Overall","2024","2015-06-24","2295","2015-06-03","2310","2015-05-04","2331","2015-01-06","2412","2014-10-06","2470","2014-08-26","2498","2014-04-24","2584","2014-03-14","2612","2013-07-12","2776","2012-10-26","2950"
"Department of Education","Agency Overall","2024","2023-05-02","354","2023-04-27","357","2023-02-17","405","2022-11-09","472","2022-10-18","488","2022-07-27","545","2022-07-12","556","2022-05-19","592","2022-05-18","593","2022-04-26","609"
"National Endowment for the Arts","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Council on Disability","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Aeronautics and Space Administration","Agency Overall","2024","2024-09-16","10","2024-09-16","10","2024-08-21","27","2024-08-20","28","2024-06-25","67","2024-06-10","77","2024-02-12","160","2024-01-10","182","2021-03-03","899","2021-01-07","923"
"Export-Import Bank of the U.S.","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-04-10","119","2024-03-27","129","2024-02-01","167","2023-11-08","223","2023-10-02","249"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Farm Credit System Insurance Corporation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States International Boundary and Water Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Management and Budget","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-07-22","49","2024-05-31","83","2024-04-12","117","2023-02-28","398"
"National Capital Planning Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Central Intelligence Agency","Agency Overall","2024","2014-01-09","2706","2013-11-07","2747","2013-10-22","2759","2013-10-22","2759","2013-10-22","2759","2013-07-19","2824","2013-04-10","2894","2012-11-19","2991","2012-01-06","3210","2007-04-16","4396"
"Merit Systems Protection Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-16","10","2024-09-16","10"
"Council on Environmental Quality","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","2024-08-28","23","2024-08-08","37","2024-06-14","74","2024-06-14","74","2024-02-09","162","2023-11-27","213"
"Commodity Futures Trading Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Indian Gaming Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States African Development Foundation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the United States Trade Representative","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Social Security Administration","Agency Overall","2024","2023-03-16","386","2023-03-13","389","2023-02-14","407","2023-02-03","414","2022-11-18","464","2022-09-07","513","2022-07-13","552","2022-07-01","559","2021-09-23","750","2021-09-15","756"
"Armed Forces Retirement Home","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"General Services Administration","Agency Overall","2024","2024-09-23","5","2024-09-20","6","2024-09-20","6","2024-09-12","12","2024-09-09","15","2024-08-27","23","2024-08-01","41","2024-06-26","66","2024-04-30","105","2023-08-04","289"
"Department of the Interior","Agency Overall","2024","2019-05-13","1340","2019-04-08","1364","2019-03-19","1378","2019-03-12","1383","2019-01-17","1419","2019-01-14","1422","2019-01-10","1424","2018-12-03","1449","2018-11-19","1458","2018-10-05","1487"
"Peace Corps","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Agriculture","Agency Overall","2024","2020-09-25","1001","2020-08-17","1029","2020-08-04","1038","2020-06-16","1072","2020-05-14","1094","2020-02-12","1159","2019-12-31","1188","2019-11-16","1218","2019-10-04","1246","2019-06-19","1321"
"U.S. Agency for Global Media","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Railroad Retirement Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-08-27","23"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. International Development Finance Corporation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
