Agency,Component,Fiscal Year,<1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,401+ Days,Total
Selective Service System,Agency Overall,2022,48,0,0,0,0,0,0,0,0,0,0,0,0,48
United States Copyright Office,Agency Overall,2022,28,3,0,1,0,0,0,0,0,0,0,0,0,32
Department of Transportation,Agency Overall,2022,10950,2014,614,627,638,328,212,150,118,180,644,190,249,16914
Office of the Director of National Intelligence,Agency Overall,2022,212,1,1,0,0,0,0,0,0,0,0,0,2,216
Social Security Advisory Board,Agency Overall,2022,10,0,0,0,0,0,0,0,0,0,0,0,0,10
National Capital Planning Commission,Agency Overall,2022,4,0,0,0,0,0,0,0,0,0,0,0,0,4
Pension Benefit Guaranty Corporation,Agency Overall,2022,2113,223,37,0,0,0,0,0,0,0,0,0,0,2373
Department of Agriculture,Agency Overall,2022,13467,671,271,166,109,86,57,45,32,35,95,172,277,15483
Farm Credit System Insurance Corporation,Agency Overall,2022,16,2,0,0,0,0,0,0,0,0,0,0,0,18
Department of Housing and Urban Development,Agency Overall,2022,750,220,80,41,24,7,14,18,10,20,72,34,83,1373
Department of Energy,Agency Overall,2022,440,168,48,45,26,11,19,5,12,10,16,4,7,811
Department of Health and Human Services,Agency Overall,2022,9842,680,267,116,63,45,28,46,29,32,75,41,266,11530
Office of Personnel Management,Agency Overall,2022,117,64,32,27,25,14,8,3,5,7,9,5,13,329
Defense Nuclear Facilities Safety Board,Agency Overall,2022,7,3,1,0,1,0,0,0,0,1,0,0,0,13
National Council on Disability,Agency Overall,2022,9,1,0,0,0,0,0,0,0,0,0,0,0,10
Small Business Administration,Agency Overall,2022,4088,440,106,64,34,38,29,26,167,190,751,137,29,6099
Armed Forces Retirement Home,Agency Overall,2022,6,1,0,0,0,0,0,0,0,0,0,0,0,7
Office of the United States Trade Representative,Agency Overall,2022,43,9,4,1,1,0,0,0,0,0,0,0,0,58
Consumer Product Safety Commission,Agency Overall,2022,74,7,1,1,2,1,0,2,2,2,3,0,12,107
Department of Defense,Agency Overall,2022,20010,1046,350,140,83,39,33,43,42,29,86,59,232,22192
Federal Election Commission,Agency Overall,2022,39,2,0,0,0,0,0,0,0,0,0,0,0,41
Equal Employment Opportunity Commission,Agency Overall,2022,10504,1487,125,45,21,12,5,1,2,2,5,2,5,12216
Federal Open Market Committee,Agency Overall,2022,24,0,0,0,0,0,0,0,0,0,0,0,0,24
Environmental Protection Agency,Agency Overall,2022,2010,557,166,107,65,38,34,22,13,7,33,23,50,3125
U.S. Railroad Retirement Board,Agency Overall,2022,48,9,2,2,0,0,0,0,0,0,1,0,0,62
Administrative Conference of the United States,Agency Overall,2022,27,0,0,0,0,0,0,0,0,0,0,0,0,27
Commodity Futures Trading Commission,Agency Overall,2022,47,6,3,2,2,2,0,1,0,0,1,0,0,64
U.S. Commission for the Preservation of America’s Heritage Abroad,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,1,0,1,2
Postal Regulatory Commission,Agency Overall,2022,40,2,1,0,0,0,0,0,0,0,0,0,0,43
United States Access Board,Agency Overall,2022,9,1,0,0,0,0,0,0,0,0,0,0,1,11
Department of Education,Agency Overall,2022,845,1,0,1,0,0,0,0,0,0,0,0,0,847
Federal Permitting Improvement Steering Council,Agency Overall,2022,0,0,2,0,1,0,0,0,0,0,0,0,0,3
National Mediation Board,Agency Overall,2022,17,2,0,0,0,0,0,0,0,0,0,0,0,19
U.S. International Development Finance Corporation,Agency Overall,2022,11,7,1,0,0,2,0,0,1,0,1,7,0,30
United States Institute of Peace,Agency Overall,2022,1,0,1,0,0,1,0,0,0,0,1,0,0,4
Securities and Exchange Commission,Agency Overall,2022,7579,0,0,0,0,0,0,0,0,0,0,0,0,7579
American Battle Monuments Commission,Agency Overall,2022,22,1,0,0,0,0,0,0,0,0,0,0,0,23
United States International Boundary and Water Commission,Agency Overall,2022,17,6,2,1,1,0,1,0,0,2,0,0,0,30
National Endowment for the Humanities,Agency Overall,2022,40,0,0,0,0,0,0,0,0,0,0,0,0,40
Federal Energy Regulatory Commission,Agency Overall,2022,8,8,3,0,0,0,0,0,0,0,0,1,0,20
Legal Services Corporation,Agency Overall,2022,16,11,2,0,0,0,0,0,0,0,0,0,0,29
Consumer Financial Protection Bureau,Agency Overall,2022,226,14,0,0,0,0,0,0,0,0,0,0,0,240
Department of Commerce,Agency Overall,2022,565,199,89,33,28,20,31,26,33,21,49,22,56,1172
U.S. Agency for International Development,Agency Overall,2022,0,0,0,2,0,0,0,0,0,0,2,0,0,4
Surface Transportation Board,Agency Overall,2022,66,1,0,0,0,0,0,0,0,0,0,0,0,67
Department of the Treasury,Agency Overall,2022,1832,114,30,15,8,7,8,6,7,4,12,9,16,2068
National Endowment for the Arts,Agency Overall,2022,17,16,1,0,0,0,0,0,0,0,0,0,0,34
Department of Homeland Security,Agency Overall,2022,112024,0,0,0,0,0,0,0,0,0,0,0,0,112024
Office of the Intellectual Property Enforcement Coordinator,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of Government Ethics,Agency Overall,2022,69,9,7,3,0,0,0,2,2,1,1,1,1,96
Federal Mine Safety and Health Review Commission,Agency Overall,2022,31,3,0,0,0,0,0,0,0,0,0,0,0,34
National Railroad Passenger Corporation,Agency Overall,2022,12,43,20,6,4,5,4,2,2,0,1,9,7,115
Federal Labor Relations Authority,Agency Overall,2022,60,30,8,1,1,0,0,0,0,0,0,0,0,100
Federal Reserve System,Agency Overall,2023,123,7,0,0,0,0,0,0,0,0,0,0,0,130
Federal Mediation and Conciliation Service,Agency Overall,2023,36,11,0,0,0,0,0,0,0,0,0,0,0,47
Commodity Futures Trading Commission,Agency Overall,2023,92,1,1,0,0,0,0,0,0,0,0,0,0,94
Consumer Product Safety Commission,Agency Overall,2023,67,9,2,6,1,0,1,0,0,0,0,4,26,116
Administrative Conference of the United States,Agency Overall,2023,43,0,0,0,0,0,0,0,0,0,0,0,0,43
Farm Credit Administration,Agency Overall,2023,48,0,0,0,0,0,0,0,0,0,0,0,0,48
Nuclear Regulatory Commission,Agency Overall,2023,93,24,6,3,2,0,0,0,0,0,0,0,0,128
National Transportation Safety Board,Agency Overall,2023,227,34,8,6,5,3,3,3,0,5,18,8,1,321
Department of Veterans Affairs,Agency Overall,2023,46278,2373,839,530,1525,5411,1780,85,39,36,68,52,152,59168
Department of Homeland Security,Agency Overall,2023,19123,52,0,0,0,0,0,0,0,0,0,0,0,19175
Office of Management and Budget,Agency Overall,2023,34,11,12,6,10,6,2,6,3,1,12,6,84,193
Social Security Administration,Agency Overall,2023,6489,1781,230,44,162,462,372,125,29,10,6,0,0,9710
U.S. Election Assistance Commission,Agency Overall,2023,12,1,0,0,0,0,0,0,0,0,1,74,2,90
Office of Personnel Management,Agency Overall,2023,322,50,28,22,16,9,4,12,4,5,19,7,5,503
National Indian Gaming Commission,Agency Overall,2023,36,1,0,0,0,0,0,0,0,0,0,0,0,37
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2023,1,4,0,0,0,0,0,0,0,0,0,0,0,5
Peace Corps,Agency Overall,2023,37,23,5,1,3,1,3,1,4,0,5,6,5,94
Court Services and Offender Supervision Agency,Agency Overall,2023,163,0,0,0,0,0,0,0,0,0,0,0,0,163
Office of National Drug Control Policy,Agency Overall,2023,31,0,0,0,0,0,0,0,0,0,0,0,0,31
Department of Energy,Agency Overall,2023,568,199,86,46,29,18,14,9,6,6,17,1,10,1009
National Endowment for the Humanities,Agency Overall,2023,24,0,0,0,0,0,0,0,0,0,0,0,0,24
National Railroad Passenger Corporation,Agency Overall,2023,204,28,20,10,6,8,6,5,5,5,20,18,11,346
Occupational Safety and Health Review Commission,Agency Overall,2023,128,0,0,0,0,0,0,0,0,0,0,0,0,128
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Institute of Museum and Library Services,Agency Overall,2023,17,3,0,0,0,0,0,0,0,0,0,0,0,20
National Science Foundation,Agency Overall,2023,29,2,7,3,4,0,1,2,0,0,2,1,4,55
Department of Commerce,Agency Overall,2023,793,247,94,65,34,31,26,13,11,14,33,26,49,1436
Department of Defense,Agency Overall,2023,23762,1312,448,228,184,127,93,103,68,66,179,72,507,27149
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2023,10,0,0,0,0,0,0,0,0,0,0,0,0,10
Department of the Interior,Agency Overall,2023,2066,668,317,173,114,84,80,50,47,33,269,101,470,4472
National Archives and Records Administration,Agency Overall,2023,56037,2178,984,970,283,118,66,64,62,76,254,164,854,62110
Department of Labor,Agency Overall,2023,6588,715,290,173,95,74,33,47,30,24,63,55,40,8227
U.S. Interagency Council on Homelessness,Agency Overall,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Office of Navajo and Hopi Indian Relocation,Agency Overall,2023,24,3,0,0,0,0,0,0,0,0,0,0,0,27
Office of Science and Technology Policy,Agency Overall,2023,12,3,0,0,0,1,0,0,0,0,0,0,4,20
Advisory Council on Historic Preservation,Agency Overall,2023,0,0,10,2,0,0,0,0,0,0,0,0,0,12
U.S. International Development Finance Corporation,Agency Overall,2023,16,6,1,1,0,0,0,0,0,0,1,0,0,25
Office of Special Counsel,Agency Overall,2023,62,11,7,3,0,0,0,0,0,0,0,0,0,83
Federal Open Market Committee,Agency Overall,2023,10,0,0,0,0,0,0,0,0,0,0,0,0,10
Department of Agriculture,Agency Overall,2023,12116,807,422,235,142,100,99,48,50,53,121,83,214,14490
Environmental Protection Agency,Agency Overall,2023,2085,567,215,99,77,50,39,26,21,13,54,28,77,3351
Millennium Challenge Corporation,Agency Overall,2023,24,3,8,5,0,0,0,0,0,0,0,0,0,40
Appraisal Subcommittee,Agency Overall,2023,23,1,0,0,0,0,0,0,0,0,0,0,0,24
Federal Maritime Commission,Agency Overall,2023,16,10,3,0,1,0,0,0,0,0,1,0,0,31
Farm Credit System Insurance Corporation,Agency Overall,2023,23,0,0,0,0,0,0,0,0,0,0,0,0,23
General Services Administration,Agency Overall,2023,342,95,47,28,17,10,7,10,5,7,12,7,7,594
Federal Financial Institutions Examination Council,Agency Overall,2023,13,2,1,0,0,0,0,0,0,0,0,0,0,16
Defense Nuclear Facilities Safety Board,Agency Overall,2023,10,4,1,0,0,0,1,0,0,0,0,0,0,16
Neighborhood Reinvestment Corporation,Agency Overall,2023,3,2,4,1,2,0,0,0,0,0,0,0,0,12
Inter-American Foundation,Agency Overall,2023,18,0,1,0,0,0,0,0,0,0,0,0,0,19
Export-Import Bank of the U.S.,Agency Overall,2023,24,9,4,1,0,0,1,0,0,0,2,0,0,41
Office of the United States Trade Representative,Agency Overall,2023,28,11,2,3,1,0,0,0,0,0,0,0,0,45
Central Intelligence Agency,Agency Overall,2023,47,5,3,3,5,0,1,3,0,0,0,0,0,67
U.S. Department of State,Agency Overall,2023,182,46,20,21,10,22,13,15,11,12,37,32,99,520
Federal Election Commission,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Trade and Development Agency,Agency Overall,2023,21,2,5,1,0,2,1,1,1,1,2,3,37,77
Merit Systems Protection Board,Agency Overall,2023,93,4,1,0,0,0,1,0,0,0,0,0,0,99
U.S. Nuclear Waste Technical Review Board,Agency Overall,2023,4,2,0,0,0,0,0,0,0,0,0,0,0,6
Federal Retirement Thrift Investment Board,Agency Overall,2023,14,10,6,2,1,1,0,2,0,0,0,0,0,36
Legal Services Corporation,Agency Overall,2023,12,5,3,0,0,0,0,0,0,0,0,0,0,20
AmeriCorps,Agency Overall,2023,25,8,4,2,1,0,0,0,1,0,0,0,0,41
United States Postal Service,Agency Overall,2023,2900,295,67,50,20,14,7,3,3,1,7,3,8,3378
Chemical Safety and Hazard Investigation Board,Agency Overall,2023,2,0,2,2,3,1,2,1,0,0,0,0,0,13
Privacy and Civil Liberties Oversight Board,Agency Overall,2023,19,5,0,0,0,0,0,0,0,0,0,0,0,24
National Credit Union Administration,Agency Overall,2023,110,0,0,0,0,0,0,0,0,0,0,0,0,110
National Council on Disability,Agency Overall,2023,2,2,1,0,0,0,0,0,0,0,0,0,0,5
Council on Environmental Quality,Agency Overall,2023,30,17,11,4,4,3,2,1,0,0,4,2,2,80
Federal Permitting Improvement Steering Council,Agency Overall,2023,0,2,3,0,0,0,0,0,0,0,0,0,0,5
Surface Transportation Board,Agency Overall,2023,69,2,0,0,0,0,0,0,0,0,0,0,0,71
Social Security Advisory Board,Agency Overall,2023,19,0,0,0,0,0,0,0,0,0,0,0,0,19
Selective Service System,Agency Overall,2023,49,0,0,0,0,0,0,0,0,0,0,0,0,49
American Battle Monuments Commission,Agency Overall,2023,18,0,0,0,0,0,0,0,0,0,0,0,0,18
U.S. Commission for the Preservation of America’s Heritage Abroad,Agency Overall,2023,13,0,1,0,0,0,0,0,0,0,0,0,0,14
United States Institute of Peace,Agency Overall,2023,1,0,2,0,0,0,0,0,0,0,0,0,0,3
United States International Boundary and Water Commission,Agency Overall,2023,8,4,3,5,3,1,0,0,0,0,0,0,0,24
United States Copyright Office,Agency Overall,2023,10,10,3,1,0,0,0,0,0,0,0,0,0,24
U.S. Railroad Retirement Board,Agency Overall,2023,63,6,3,0,0,0,0,0,1,0,1,0,0,74
National Labor Relations Board,Agency Overall,2023,1626,140,12,10,5,6,2,2,2,1,5,4,0,1815
National Capital Planning Commission,Agency Overall,2023,21,0,0,0,0,0,0,0,0,0,0,0,0,21
U.S. Commission on Civil Rights,Agency Overall,2023,38,0,0,0,0,0,0,0,0,0,0,0,0,38
Federal Deposit Insurance Corporation,Agency Overall,2023,255,59,14,7,2,1,0,0,0,0,0,0,0,338
United States International Trade Commission,Agency Overall,2023,13,3,0,0,0,0,0,0,0,0,0,0,0,16
Equal Employment Opportunity Commission,Agency Overall,2023,11593,1719,88,36,13,7,11,6,4,0,6,3,8,13494
Department of Transportation,Agency Overall,2023,8664,1831,566,367,475,454,328,197,177,174,549,278,275,14335
Department of Justice,Agency Overall,2023,32846,7211,3444,3936,3544,2923,2592,2034,1874,1910,12366,12089,10722,97491
National Aeronautics and Space Administration,Agency Overall,2023,379,26,2,3,1,0,0,0,0,0,0,1,0,412
United States African Development Foundation,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denali Commission,Agency Overall,2023,18,0,0,0,0,0,0,0,0,0,0,0,0,18
Pension Benefit Guaranty Corporation,Agency Overall,2023,1005,10,0,0,0,0,0,0,0,0,0,0,0,1015
Postal Regulatory Commission,Agency Overall,2023,74,1,1,0,0,0,0,0,0,0,0,0,0,76
National Mediation Board,Agency Overall,2023,25,1,0,0,0,0,0,0,0,0,0,0,0,26
U.S. Agency for International Development,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Health and Human Services,Agency Overall,2023,11965,882,245,107,81,57,32,28,21,39,156,46,86,13745
Harry S. Truman Scholarship Foundation,Agency Overall,2023,18,8,1,0,0,0,0,0,0,0,0,0,0,27
Gulf Coast Ecosystem Restoration Council,Agency Overall,2023,12,0,0,0,0,0,0,0,0,0,0,0,0,12
Federal Mine Safety and Health Review Commission,Agency Overall,2023,44,0,0,0,0,0,0,0,0,0,0,0,0,44
Department of Education,Agency Overall,2023,620,33,16,15,7,4,10,6,1,1,12,7,32,764
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2023,45,2,3,1,0,0,0,0,0,0,0,0,0,51
Department of Housing and Urban Development,Agency Overall,2023,367,82,28,37,20,5,7,7,3,6,10,2,6,580
Tennessee Valley Authority,Agency Overall,2023,111,13,3,3,0,1,0,0,0,0,0,0,0,131
Department of the Treasury,Agency Overall,2023,2154,158,39,21,13,4,7,3,4,3,7,1,9,2423
Marine Mammal Commission,Agency Overall,2023,29,1,1,0,0,0,0,1,0,1,0,0,0,33
Securities and Exchange Commission,Agency Overall,2023,4109,0,0,0,0,0,0,0,0,0,0,0,0,4109
Federal Trade Commission,Agency Overall,2023,929,34,5,0,1,1,0,0,0,0,0,0,0,970
Consumer Financial Protection Bureau,Agency Overall,2023,257,32,10,4,2,0,0,0,0,0,0,0,0,305
James Madison Memorial Fellowship Foundation,Agency Overall,2023,2,0,1,0,1,0,0,0,0,0,0,0,0,4
Office of the National Cyber Director,Agency Overall,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Armed Forces Retirement Home,Agency Overall,2023,0,7,3,1,0,1,0,0,0,0,0,0,0,12
United States Access Board,Agency Overall,2023,16,2,1,0,0,0,0,0,0,0,0,0,0,19
National Endowment for the Arts,Agency Overall,2023,32,5,0,0,0,0,0,0,0,0,0,0,0,37
Commission of Fine Arts,Agency Overall,2023,11,8,1,0,0,0,0,0,0,0,0,0,0,20
Office of the Director of National Intelligence,Agency Overall,2023,130,12,3,0,1,1,1,0,0,0,0,0,1,149
Federal Communications Commission,Agency Overall,2023,315,103,9,0,0,0,0,0,0,0,0,0,0,427
Federal Energy Regulatory Commission,Agency Overall,2023,6,5,2,0,0,0,0,0,0,0,0,0,0,13
Federal Labor Relations Authority,Agency Overall,2023,78,32,9,4,7,3,1,2,1,0,4,7,2,150
Office of the Intellectual Property Enforcement Coordinator,Agency Overall,2023,26,0,0,0,0,0,0,0,0,0,0,0,0,26
Small Business Administration,Agency Overall,2023,2443,491,81,36,29,20,16,11,13,7,49,27,92,3315
U.S. Agency for Global Media,Agency Overall,2023,25,6,4,3,1,1,1,0,1,0,2,0,0,44
Presidio Trust,Agency Overall,2023,5,5,0,0,0,0,0,0,0,0,0,0,0,10
Federal Housing Finance Agency,Agency Overall,2023,55,7,2,0,0,0,0,0,0,0,0,1,1,66
Office of Government Ethics,Agency Overall,2023,90,5,1,3,1,1,0,0,1,0,0,1,2,105
AmeriCorps,Agency Overall,2024,38,3,3,1,0,0,1,1,0,1,1,1,0,50
Department of Justice,Agency Overall,2024,60217,12691,4272,2698,2371,1936,1682,1310,1312,1240,5126,3397,4899,103151
American Battle Monuments Commission,Agency Overall,2024,28,1,0,0,0,0,0,0,0,0,0,0,0,29
Federal Energy Regulatory Commission,Agency Overall,2024,60,32,11,3,2,2,2,1,1,0,7,3,2,126
Office of Special Counsel,Agency Overall,2024,52,34,24,11,2,1,0,5,0,1,0,0,0,130
Commission of Fine Arts,Agency Overall,2024,77,5,0,0,0,0,0,0,0,0,0,0,0,82
United States Copyright Office,Agency Overall,2024,27,11,0,1,0,1,0,1,0,0,0,0,0,41
Office of Science and Technology Policy,Agency Overall,2024,56,1,0,0,0,0,0,0,0,0,0,0,0,57
Federal Open Market Committee,Agency Overall,2024,27,0,0,0,0,0,0,0,0,0,0,0,0,27
U.S. Commission for the Preservation of America’s Heritage Abroad,Agency Overall,2024,2,1,1,4,4,7,0,0,0,0,1,0,0,20
U.S. Commission on Civil Rights,Agency Overall,2024,14,0,0,0,0,2,2,1,0,1,0,0,0,20
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2024,51,4,0,0,0,0,0,0,1,0,0,0,0,56
Office of the National Cyber Director,Agency Overall,2024,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Department of Health and Human Services,Agency Overall,2024,11994,1167,399,162,115,88,51,42,25,29,118,53,146,14389
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2024,51,0,0,0,0,0,1,0,0,0,0,0,0,52
Surface Transportation Board,Agency Overall,2024,95,4,0,0,0,0,0,0,0,0,0,0,0,99
Department of Energy,Agency Overall,2024,1704,375,177,125,40,42,23,9,12,15,41,12,13,2588
Consumer Financial Protection Bureau,Agency Overall,2024,489,37,14,8,2,1,3,2,0,0,0,0,0,556
Federal Labor Relations Authority,Agency Overall,2024,103,38,5,7,3,2,4,1,3,2,3,7,12,190
U.S. Election Assistance Commission,Agency Overall,2024,21,2,0,0,0,0,0,0,0,0,1,1,8,33
Federal Communications Commission,Agency Overall,2024,334,113,27,17,21,8,0,0,1,2,6,0,0,529
Federal Deposit Insurance Corporation,Agency Overall,2024,95,53,15,8,2,1,0,0,0,0,0,0,0,174
Office of Navajo and Hopi Indian Relocation,Agency Overall,2024,72,2,0,0,0,0,0,0,0,0,0,0,0,74
National Credit Union Administration,Agency Overall,2024,246,38,1,0,0,0,0,0,0,0,0,0,0,285
National Science Foundation,Agency Overall,2024,42,14,9,1,8,1,1,0,1,0,2,1,31,111
Millennium Challenge Corporation,Agency Overall,2024,6,17,12,7,0,2,0,0,0,0,2,0,0,46
Office of National Drug Control Policy,Agency Overall,2024,16,0,0,0,0,0,0,0,0,0,0,0,0,16
U.S. Interagency Council on Homelessness,Agency Overall,2024,1,1,2,1,2,2,1,0,0,0,1,0,0,11
Office of Pandemic Preparedness and Response Policy,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Trade and Development Agency,Agency Overall,2024,24,20,12,4,3,3,1,5,0,1,1,0,3,77
Selective Service System,Agency Overall,2024,60,8,1,0,0,0,0,0,0,0,0,0,0,69
Court Services and Offender Supervision Agency,Agency Overall,2024,254,0,0,0,0,0,0,0,0,0,0,0,0,254
Nuclear Regulatory Commission,Agency Overall,2024,217,27,13,6,2,3,0,0,2,2,4,1,0,277
Federal Reserve System,Agency Overall,2024,228,0,0,0,0,0,0,0,0,0,0,0,0,228
National Labor Relations Board,Agency Overall,2024,1556,265,59,36,14,10,4,3,7,1,3,0,0,1958
U.S. Agency for International Development,Agency Overall,2024,1,0,1,0,0,0,0,0,0,0,0,0,0,2
Department of Transportation,Agency Overall,2024,6083,1565,878,626,437,303,345,681,412,336,1010,191,243,13110
Social Security Advisory Board,Agency Overall,2024,40,3,1,0,0,0,0,0,0,0,0,0,0,44
Institute of Museum and Library Services,Agency Overall,2024,26,0,0,0,0,0,0,0,0,0,0,0,0,26
Federal Maritime Commission,Agency Overall,2024,23,7,19,12,6,3,0,0,0,2,0,1,0,73
Harry S. Truman Scholarship Foundation,Agency Overall,2024,23,0,0,0,0,0,0,0,0,0,0,0,0,23
Neighborhood Reinvestment Corporation,Agency Overall,2024,12,8,7,5,9,0,2,0,0,0,0,0,0,43
Department of Defense,Agency Overall,2024,21684,1119,543,262,219,138,118,77,57,71,175,118,266,24847
Federal Mediation and Conciliation Service,Agency Overall,2024,81,11,1,0,0,0,0,0,0,0,0,0,0,93
Advisory Council on Historic Preservation,Agency Overall,2024,7,10,8,3,2,0,0,0,0,0,3,0,0,33
Federal Financial Institutions Examination Council,Agency Overall,2024,16,26,6,0,0,0,0,0,0,0,0,0,0,48
Securities and Exchange Commission,Agency Overall,2024,6038,0,0,0,0,0,0,0,0,0,0,0,0,6038
Office of the Intellectual Property Enforcement Coordinator,Agency Overall,2024,43,0,0,0,0,0,0,0,0,0,0,0,0,43
Equal Employment Opportunity Commission,Agency Overall,2024,14294,1817,84,37,8,8,7,47,4,4,6,6,13,16335
Administrative Conference of the United States,Agency Overall,2024,145,0,0,0,0,0,0,0,0,0,0,0,0,145
Appraisal Subcommittee,Agency Overall,2024,33,3,0,1,0,0,0,0,0,0,0,0,0,37
Office of the Director of National Intelligence,Agency Overall,2024,124,22,7,6,1,1,1,5,5,2,4,0,6,184
Federal Trade Commission,Agency Overall,2024,926,57,9,2,1,1,1,3,0,0,0,0,0,1000
Department of Commerce,Agency Overall,2024,1950,310,115,63,57,32,12,18,9,11,40,32,36,2685
Department of Housing and Urban Development,Agency Overall,2024,267,16,0,0,0,0,0,0,0,0,0,0,0,283
Gulf Coast Ecosystem Restoration Council,Agency Overall,2024,11,0,0,0,0,0,0,0,0,0,0,0,0,11
Pension Benefit Guaranty Corporation,Agency Overall,2024,1298,21,0,0,0,0,0,0,0,0,0,0,0,1319
United States Access Board,Agency Overall,2024,28,6,2,2,1,0,0,2,0,0,0,0,0,41
Department of the Treasury,Agency Overall,2024,2622,144,38,25,14,11,6,4,3,2,6,4,13,2892
Department of Homeland Security,Agency Overall,2024,57059,93,0,0,0,0,0,0,0,0,0,0,0,57152
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2024,1,1,0,1,1,1,0,0,1,0,0,0,0,6
United States International Trade Commission,Agency Overall,2024,74,0,0,0,0,0,0,0,0,0,0,0,0,74
Environmental Protection Agency,Agency Overall,2024,2814,790,254,121,79,59,40,17,15,16,54,27,42,4328
Marine Mammal Commission,Agency Overall,2024,32,31,4,2,0,0,0,0,0,0,1,0,0,70
Department of Labor,Agency Overall,2024,7169,885,245,127,74,50,41,29,28,20,36,34,29,8767
U.S. Nuclear Waste Technical Review Board,Agency Overall,2024,1,0,0,0,0,0,0,0,0,0,0,0,0,1
United States Postal Service,Agency Overall,2024,2999,289,68,56,16,13,10,2,2,4,10,2,15,3486
Occupational Safety and Health Review Commission,Agency Overall,2024,208,0,0,0,0,0,0,0,0,0,0,0,0,208
Tennessee Valley Authority,Agency Overall,2024,162,10,0,0,0,0,0,0,0,0,0,0,0,172
Farm Credit Administration,Agency Overall,2024,58,15,0,0,0,0,0,0,0,0,0,0,0,73
National Railroad Passenger Corporation,Agency Overall,2024,489,67,61,28,6,9,1,2,4,2,25,25,23,742
Office of Personnel Management,Agency Overall,2024,360,71,42,47,30,19,13,11,7,4,8,3,8,623
National Endowment for the Humanities,Agency Overall,2024,32,0,0,0,0,0,0,0,0,0,0,0,0,32
Legal Services Corporation,Agency Overall,2024,31,9,0,1,3,1,3,3,1,0,4,0,0,56
Inter-American Foundation,Agency Overall,2024,28,5,1,1,1,0,0,0,0,0,0,0,0,36
Federal Election Commission,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denali Commission,Agency Overall,2024,34,0,0,0,0,0,0,0,0,0,0,0,0,34
James Madison Memorial Fellowship Foundation,Agency Overall,2024,1,3,4,1,1,2,0,0,0,0,3,0,0,15
Consumer Product Safety Commission,Agency Overall,2024,113,21,2,4,1,0,0,0,0,0,1,0,4,146
Presidio Trust,Agency Overall,2024,5,13,7,1,4,4,4,4,0,1,2,0,0,45
Postal Regulatory Commission,Agency Overall,2024,199,4,1,1,7,0,0,0,0,2,0,0,0,214
U.S. Department of State,Agency Overall,2024,1667,10,7,7,4,4,3,1,0,0,2,1,9,1715
Federal Housing Finance Agency,Agency Overall,2024,105,11,3,5,0,1,2,1,0,0,1,0,2,131
Small Business Administration,Agency Overall,2024,3597,299,33,20,16,14,9,8,14,9,73,35,64,4191
Federal Mine Safety and Health Review Commission,Agency Overall,2024,54,0,0,0,0,0,0,0,0,0,0,0,0,54
Office of Government Ethics,Agency Overall,2024,97,11,7,5,3,1,4,2,0,0,0,0,0,130
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2024,2,1,0,3,0,1,1,0,0,0,0,0,0,8
National Transportation Safety Board,Agency Overall,2024,228,48,21,12,9,2,6,1,1,1,8,7,1,345
Department of Veterans Affairs,Agency Overall,2024,62905,2548,838,656,1121,13774,12629,2020,122,39,125,75,57,96909
United States Institute of Peace,Agency Overall,2024,1,0,3,1,0,0,1,6,0,0,0,0,0,12
National Mediation Board,Agency Overall,2024,65,0,0,0,0,0,0,0,0,0,0,0,0,65
Chemical Safety and Hazard Investigation Board,Agency Overall,2024,1,0,0,0,0,0,0,0,0,0,2,1,2,6
National Archives and Records Administration,Agency Overall,2024,12936,413,136,75,54,51,37,40,45,24,70,40,957,14878
Department of Education,Agency Overall,2024,404,36,17,15,7,1,1,1,1,3,20,5,18,529
National Endowment for the Arts,Agency Overall,2024,105,16,0,0,0,0,0,0,0,0,0,0,0,121
National Council on Disability,Agency Overall,2024,12,1,2,2,0,0,1,0,0,0,0,0,0,18
National Aeronautics and Space Administration,Agency Overall,2024,486,24,9,1,2,1,1,1,0,0,1,0,0,526
