Agency,Component,Fiscal Year,<1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,401+ Days,Total
National Archives and Records Administration,Agency Overall,2022,91,38,4,9,7,13,12,10,6,0,13,17,355,575
Selective Service System,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Copyright Office,Agency Overall,2022,1,0,1,0,0,2,0,0,0,0,0,0,0,4
Department of Transportation,Agency Overall,2022,343,139,89,47,62,57,32,37,34,30,190,187,651,1898
Office of the Director of National Intelligence,Agency Overall,2022,40,18,9,8,4,2,2,5,4,2,5,11,43,153
Social Security Advisory Board,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Capital Planning Commission,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pension Benefit Guaranty Corporation,Agency Overall,2022,1156,269,21,6,4,0,0,0,0,0,0,0,0,1456
Department of Agriculture,Agency Overall,2022,395,258,154,86,50,47,56,40,25,27,62,48,273,1521
Farm Credit System Insurance Corporation,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Housing and Urban Development,Agency Overall,2022,109,51,32,18,14,8,10,15,12,11,54,50,146,530
Department of Energy,Agency Overall,2022,94,96,49,47,38,30,27,28,20,23,69,48,82,651
Department of Health and Human Services,Agency Overall,2022,11671,2723,1193,627,494,382,327,242,237,149,626,414,1401,20486
Office of Personnel Management,Agency Overall,2022,18,4,9,4,3,0,5,1,3,4,19,19,65,154
Defense Nuclear Facilities Safety Board,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Council on Disability,Agency Overall,2022,3,2,1,0,0,0,0,0,0,0,0,0,0,6
Small Business Administration,Agency Overall,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Armed Forces Retirement Home,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of the United States Trade Representative,Agency Overall,2022,0,0,1,3,3,2,2,0,1,0,1,0,0,13
Consumer Product Safety Commission,Agency Overall,2022,112,76,29,28,9,13,9,8,7,2,10,10,82,395
Department of Defense,Agency Overall,2022,7924,4233,1855,1179,712,572,496,366,278,231,895,474,2536,21751
Federal Election Commission,Agency Overall,2022,33,16,5,2,3,3,0,0,0,1,1,0,1,65
Equal Employment Opportunity Commission,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,3,1,4
Federal Open Market Committee,Agency Overall,2022,0,1,0,0,1,0,2,0,0,0,0,0,0,4
Environmental Protection Agency,Agency Overall,2022,452,313,162,103,71,51,34,37,23,18,88,55,280,1687
U.S. Railroad Retirement Board,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Administrative Conference of the United States,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commodity Futures Trading Commission,Agency Overall,2022,32,21,7,5,6,3,2,1,1,2,2,2,5,89
U.S. Commission for the Preservation of America’s Heritage Abroad,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Postal Regulatory Commission,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Access Board,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Education,Agency Overall,2022,6,95,59,61,53,33,30,18,16,8,31,18,55,483
Federal Permitting Improvement Steering Council,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Mediation Board,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. International Development Finance Corporation,Agency Overall,2022,1,1,1,1,0,2,0,0,1,0,3,1,0,11
United States Institute of Peace,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Securities and Exchange Commission,Agency Overall,2022,75,960,283,192,140,141,92,54,61,47,94,31,10,2180
American Battle Monuments Commission,Agency Overall,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,1
United States International Boundary and Water Commission,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Endowment for the Humanities,Agency Overall,2022,0,4,4,0,0,0,0,0,0,0,0,0,0,8
Federal Energy Regulatory Commission,Agency Overall,2022,14,29,4,4,2,2,0,0,0,0,0,2,7,64
Legal Services Corporation,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Consumer Financial Protection Bureau,Agency Overall,2022,63,26,8,2,8,3,1,0,1,2,0,0,9,123
Department of Commerce,Agency Overall,2022,34,66,42,22,28,6,18,9,4,10,19,11,56,325
U.S. Agency for International Development,Agency Overall,2022,101,22,14,11,8,12,7,8,6,6,18,20,58,291
Surface Transportation Board,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of the Treasury,Agency Overall,2022,3306,742,397,261,209,161,143,128,68,75,198,107,255,6050
National Endowment for the Arts,Agency Overall,2022,2,4,0,0,0,0,0,0,0,0,0,0,0,6
Department of Homeland Security,Agency Overall,2022,25043,202867,25406,5622,4892,9102,10040,9645,9752,7413,36905,9897,2505,359089
Office of the Intellectual Property Enforcement Coordinator,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of Government Ethics,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Mine Safety and Health Review Commission,Agency Overall,2022,3,3,4,1,0,0,0,0,0,0,0,0,0,11
National Railroad Passenger Corporation,Agency Overall,2022,0,0,0,1,1,0,0,0,0,0,5,10,10,27
Federal Labor Relations Authority,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Reserve System,Agency Overall,2023,60,99,49,30,11,6,9,8,6,3,1,1,0,283
Federal Mediation and Conciliation Service,Agency Overall,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Commodity Futures Trading Commission,Agency Overall,2023,51,17,6,4,2,0,1,3,6,3,1,1,0,95
Consumer Product Safety Commission,Agency Overall,2023,138,69,48,34,50,30,7,11,5,4,7,20,258,681
Administrative Conference of the United States,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farm Credit Administration,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear Regulatory Commission,Agency Overall,2023,21,6,3,6,1,2,3,3,1,2,3,1,7,59
National Transportation Safety Board,Agency Overall,2023,14,16,7,6,4,5,5,6,11,1,39,48,15,177
Department of Veterans Affairs,Agency Overall,2023,4777,2157,486,248,184,440,1309,569,33,19,16,66,62,10366
Department of Homeland Security,Agency Overall,2023,216385,147513,21026,23937,23112,18249,9580,6754,7074,3985,12520,1665,2049,493849
Office of Management and Budget,Agency Overall,2023,47,9,11,3,1,0,0,1,0,0,0,0,73,145
Social Security Administration,Agency Overall,2023,98,80,63,24,30,12,15,17,12,13,27,7,3,401
U.S. Election Assistance Commission,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of Personnel Management,Agency Overall,2023,1,6,1,2,1,1,0,1,1,0,7,2,23,46
National Indian Gaming Commission,Agency Overall,2023,0,2,5,0,0,0,0,0,0,0,0,0,1,8
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2023,0,8,0,1,0,8,4,0,0,0,0,0,0,21
Peace Corps,Agency Overall,2023,6,6,5,0,5,3,7,2,2,1,6,0,13,56
Court Services and Offender Supervision Agency,Agency Overall,2023,140,0,0,0,0,0,0,0,0,0,0,0,0,140
Office of National Drug Control Policy,Agency Overall,2023,0,2,0,0,0,0,0,0,0,0,1,0,2,5
Department of Energy,Agency Overall,2023,110,73,53,64,46,38,22,28,25,20,80,43,102,704
National Endowment for the Humanities,Agency Overall,2023,0,1,3,1,0,0,0,0,0,0,0,0,0,5
National Railroad Passenger Corporation,Agency Overall,2023,11,0,1,3,1,1,0,2,0,2,6,13,112,152
Occupational Safety and Health Review Commission,Agency Overall,2023,0,4,2,1,0,0,0,1,0,0,0,0,0,8
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2023,26,15,4,1,0,0,0,0,0,0,0,0,0,46
Institute of Museum and Library Services,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Science Foundation,Agency Overall,2023,15,24,19,22,5,3,2,2,1,0,2,2,1,98
Department of Commerce,Agency Overall,2023,38,59,34,25,27,8,19,8,11,16,26,9,66,346
Department of Defense,Agency Overall,2023,7277,4444,2310,1068,745,577,503,608,322,252,1061,669,2680,22516
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of the Interior,Agency Overall,2023,474,254,155,104,69,65,51,42,35,33,108,58,519,1967
National Archives and Records Administration,Agency Overall,2023,103,48,43,94,11,25,19,25,10,7,32,23,3116,3556
Department of Labor,Agency Overall,2023,3457,732,311,170,127,100,69,40,25,31,89,77,149,5377
U.S. Interagency Council on Homelessness,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of Navajo and Hopi Indian Relocation,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of Science and Technology Policy,Agency Overall,2023,10,1,0,0,1,4,0,1,0,1,2,0,5,25
Advisory Council on Historic Preservation,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. International Development Finance Corporation,Agency Overall,2023,1,0,0,1,0,0,0,0,0,0,0,1,0,3
Office of Special Counsel,Agency Overall,2023,1,3,5,3,0,0,0,0,0,0,1,0,0,13
Federal Open Market Committee,Agency Overall,2023,0,1,0,1,0,4,0,0,0,0,0,0,0,6
Department of Agriculture,Agency Overall,2023,312,171,131,83,79,60,30,32,25,26,88,72,287,1396
Environmental Protection Agency,Agency Overall,2023,466,389,201,137,108,48,48,47,26,16,89,52,367,1994
Millennium Challenge Corporation,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appraisal Subcommittee,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Maritime Commission,Agency Overall,2023,0,0,1,1,2,0,0,1,0,0,1,1,0,7
Farm Credit System Insurance Corporation,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Services Administration,Agency Overall,2023,62,76,31,21,17,9,9,8,10,6,37,18,44,348
Federal Financial Institutions Examination Council,Agency Overall,2023,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Defense Nuclear Facilities Safety Board,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neighborhood Reinvestment Corporation,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inter-American Foundation,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Export-Import Bank of the U.S.,Agency Overall,2023,6,8,5,3,1,2,3,1,0,1,3,1,5,39
Office of the United States Trade Representative,Agency Overall,2023,0,0,7,1,1,0,1,1,0,0,0,0,0,11
Central Intelligence Agency,Agency Overall,2023,16,68,44,76,89,86,56,49,50,53,85,22,194,888
U.S. Department of State,Agency Overall,2023,246,716,3732,2572,2025,161,105,85,21,21,96,106,710,10596
Federal Election Commission,Agency Overall,2023,72,7,1,1,1,1,0,0,0,1,0,0,1,85
United States Trade and Development Agency,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merit Systems Protection Board,Agency Overall,2023,5,5,3,4,3,3,1,0,0,0,1,0,2,27
U.S. Nuclear Waste Technical Review Board,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Retirement Thrift Investment Board,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legal Services Corporation,Agency Overall,2023,1,0,1,0,0,0,0,0,0,0,0,0,0,2
AmeriCorps,Agency Overall,2023,3,1,2,1,0,1,0,0,0,0,0,0,0,8
United States Postal Service,Agency Overall,2023,21,14,6,2,1,1,0,0,1,0,2,4,12,64
Chemical Safety and Hazard Investigation Board,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Privacy and Civil Liberties Oversight Board,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Credit Union Administration,Agency Overall,2023,11,22,1,0,0,0,0,0,0,0,0,0,0,34
National Council on Disability,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Council on Environmental Quality,Agency Overall,2023,0,1,1,0,0,1,3,0,0,1,3,1,4,15
Federal Permitting Improvement Steering Council,Agency Overall,2023,0,1,1,0,0,0,0,0,0,0,1,0,0,3
Surface Transportation Board,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social Security Advisory Board,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selective Service System,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Battle Monuments Commission,Agency Overall,2023,0,4,0,0,0,0,0,0,0,0,0,0,0,4
U.S. Commission for the Preservation of America’s Heritage Abroad,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Institute of Peace,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States International Boundary and Water Commission,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Copyright Office,Agency Overall,2023,0,1,0,1,0,1,0,0,1,0,1,0,1,6
U.S. Railroad Retirement Board,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Labor Relations Board,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Capital Planning Commission,Agency Overall,2023,0,1,0,0,0,0,0,0,0,0,0,0,0,1
U.S. Commission on Civil Rights,Agency Overall,2023,2,4,1,5,0,0,0,0,0,0,0,0,0,12
Federal Deposit Insurance Corporation,Agency Overall,2023,31,47,13,14,3,1,0,1,1,0,0,1,1,113
United States International Trade Commission,Agency Overall,2023,0,4,0,0,0,0,0,0,0,0,1,0,0,5
Equal Employment Opportunity Commission,Agency Overall,2023,495,58,4,4,2,1,1,2,2,1,0,0,1,571
Department of Transportation,Agency Overall,2023,466,214,131,77,64,51,59,29,26,34,136,137,565,1989
Department of Justice,Agency Overall,2023,4940,1896,987,611,449,344,258,247,225,204,770,547,4566,16044
National Aeronautics and Space Administration,Agency Overall,2023,246,68,44,17,16,12,1,4,1,7,3,5,0,424
United States African Development Foundation,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denali Commission,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pension Benefit Guaranty Corporation,Agency Overall,2023,1487,139,1,1,0,0,0,0,0,0,0,0,0,1628
Postal Regulatory Commission,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Mediation Board,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Agency for International Development,Agency Overall,2023,108,25,8,12,14,7,5,3,6,6,18,10,95,317
Department of Health and Human Services,Agency Overall,2023,18080,2324,1233,730,519,442,334,308,258,205,840,518,2034,27825
Harry S. Truman Scholarship Foundation,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gulf Coast Ecosystem Restoration Council,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Mine Safety and Health Review Commission,Agency Overall,2023,3,0,0,0,0,0,0,0,0,0,0,0,1,4
Department of Education,Agency Overall,2023,790,119,58,44,39,55,40,40,35,19,93,78,122,1532
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2023,0,3,8,0,4,1,1,0,1,0,0,1,3,22
Department of Housing and Urban Development,Agency Overall,2023,465,188,107,56,59,43,28,17,26,21,51,40,121,1222
Tennessee Valley Authority,Agency Overall,2023,0,15,7,3,2,2,1,2,1,0,5,2,0,40
Department of the Treasury,Agency Overall,2023,2911,853,324,238,164,128,109,80,68,47,209,128,299,5558
Marine Mammal Commission,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Securities and Exchange Commission,Agency Overall,2023,1942,881,354,333,253,247,205,178,82,52,134,58,68,4787
Federal Trade Commission,Agency Overall,2023,324,94,36,23,4,11,6,5,0,2,3,0,0,508
Consumer Financial Protection Bureau,Agency Overall,2023,58,37,28,23,9,6,10,4,12,5,11,3,2,208
James Madison Memorial Fellowship Foundation,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of the National Cyber Director,Agency Overall,2023,0,0,1,0,1,0,0,0,0,0,0,0,0,2
Armed Forces Retirement Home,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Access Board,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Endowment for the Arts,Agency Overall,2023,1,5,0,0,0,0,0,0,0,0,0,0,0,6
Commission of Fine Arts,Agency Overall,2023,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Office of the Director of National Intelligence,Agency Overall,2023,29,10,6,7,7,3,3,0,5,1,9,4,21,105
Federal Communications Commission,Agency Overall,2023,0,6,15,4,5,5,3,3,3,3,4,3,6,60
Federal Energy Regulatory Commission,Agency Overall,2023,21,32,15,1,4,2,3,0,1,1,1,0,0,81
Federal Labor Relations Authority,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of the Intellectual Property Enforcement Coordinator,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Business Administration,Agency Overall,2023,6,5,2,0,0,1,0,0,0,0,0,0,1,15
U.S. Agency for Global Media,Agency Overall,2023,3,3,4,2,9,3,3,4,1,3,8,1,4,48
Presidio Trust,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Housing Finance Agency,Agency Overall,2023,2,4,3,3,3,0,0,0,0,0,0,0,2,17
Office of Government Ethics,Agency Overall,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AmeriCorps,Agency Overall,2024,1,8,3,1,1,3,2,0,1,0,0,1,0,21
Department of Justice,Agency Overall,2024,5792,1937,1066,688,538,432,360,360,328,292,1234,898,6598,20523
American Battle Monuments Commission,Agency Overall,2024,0,2,0,1,0,0,0,0,0,0,0,0,0,3
Federal Energy Regulatory Commission,Agency Overall,2024,1,2,0,1,1,0,2,1,2,1,2,6,11,30
Office of Special Counsel,Agency Overall,2024,3,3,1,1,1,0,0,0,0,0,3,0,0,12
Commission of Fine Arts,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Copyright Office,Agency Overall,2024,4,5,2,3,2,1,1,3,1,0,0,1,1,24
Office of Science and Technology Policy,Agency Overall,2024,0,22,8,10,13,13,2,15,8,1,6,0,15,113
Federal Open Market Committee,Agency Overall,2024,0,3,1,6,1,1,0,0,8,3,4,0,0,27
U.S. Commission for the Preservation of America’s Heritage Abroad,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Commission on Civil Rights,Agency Overall,2024,5,9,5,12,3,1,1,1,1,0,0,0,0,38
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2024,1,2,0,0,0,0,0,0,0,2,0,0,0,5
Office of the National Cyber Director,Agency Overall,2024,0,0,17,2,64,0,0,50,0,0,6,0,0,139
Department of Health and Human Services,Agency Overall,2024,18247,2562,1298,806,606,524,431,384,349,303,908,499,1898,28815
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surface Transportation Board,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Energy,Agency Overall,2024,127,58,37,32,22,17,16,12,14,12,47,23,74,491
Consumer Financial Protection Bureau,Agency Overall,2024,55,64,23,12,8,7,6,8,2,2,4,3,6,200
Federal Labor Relations Authority,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Election Assistance Commission,Agency Overall,2024,1,0,0,0,0,0,0,0,0,0,0,1,3,5
Federal Communications Commission,Agency Overall,2024,194,79,44,22,13,21,5,4,9,2,12,3,11,419
Federal Deposit Insurance Corporation,Agency Overall,2024,35,43,26,26,16,19,10,10,13,3,6,5,1,213
Office of Navajo and Hopi Indian Relocation,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Credit Union Administration,Agency Overall,2024,9,43,3,1,0,1,0,0,0,0,0,0,0,57
National Science Foundation,Agency Overall,2024,4,16,11,16,7,4,5,2,4,2,7,2,174,254
Millennium Challenge Corporation,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of National Drug Control Policy,Agency Overall,2024,0,13,7,7,0,1,1,2,0,0,0,0,0,31
U.S. Interagency Council on Homelessness,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of Pandemic Preparedness and Response Policy,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Trade and Development Agency,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selective Service System,Agency Overall,2024,0,0,1,0,1,2,0,0,0,0,0,0,0,4
Court Services and Offender Supervision Agency,Agency Overall,2024,251,0,0,0,0,0,0,0,0,0,0,0,0,251
Nuclear Regulatory Commission,Agency Overall,2024,119,7,4,4,2,3,3,0,1,2,1,1,15,162
Federal Reserve System,Agency Overall,2024,63,82,39,37,25,16,9,13,6,16,18,3,4,331
National Labor Relations Board,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Agency for International Development,Agency Overall,2024,474,27,13,17,11,9,10,8,7,5,13,16,69,679
Department of Transportation,Agency Overall,2024,494,528,201,113,83,66,48,53,50,41,121,262,674,2734
Social Security Advisory Board,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Institute of Museum and Library Services,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Maritime Commission,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Harry S. Truman Scholarship Foundation,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neighborhood Reinvestment Corporation,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Defense,Agency Overall,2024,7796,4890,1594,894,644,579,435,346,266,242,1090,644,3232,22652
Federal Mediation and Conciliation Service,Agency Overall,2024,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Advisory Council on Historic Preservation,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Financial Institutions Examination Council,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Securities and Exchange Commission,Agency Overall,2024,1402,1365,535,315,202,140,105,88,98,89,249,93,96,4777
Office of the Intellectual Property Enforcement Coordinator,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equal Employment Opportunity Commission,Agency Overall,2024,93,36,23,14,5,7,2,2,0,0,2,3,3,190
Administrative Conference of the United States,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appraisal Subcommittee,Agency Overall,2024,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Office of the Director of National Intelligence,Agency Overall,2024,69,19,9,9,5,9,1,2,5,3,7,7,36,181
Federal Trade Commission,Agency Overall,2024,322,102,48,23,10,5,4,8,3,4,9,1,1,540
Department of Commerce,Agency Overall,2024,67,77,75,32,20,14,10,7,12,4,37,29,83,467
Department of Housing and Urban Development,Agency Overall,2024,1785,347,132,64,44,38,28,28,19,15,46,21,101,2668
Gulf Coast Ecosystem Restoration Council,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pension Benefit Guaranty Corporation,Agency Overall,2024,1310,117,10,2,0,0,0,0,0,0,0,0,0,1439
United States Access Board,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of the Treasury,Agency Overall,2024,2184,609,332,239,211,157,115,90,68,55,188,76,431,4755
Department of Homeland Security,Agency Overall,2024,141172,242016,43257,32002,31952,10386,12221,11546,9792,10038,29586,5526,2499,581993
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2024,4,6,1,1,5,1,0,1,2,1,1,0,0,23
United States International Trade Commission,Agency Overall,2024,0,60,12,4,1,0,0,0,0,0,1,4,1,83
Environmental Protection Agency,Agency Overall,2024,305,301,207,172,85,73,45,42,25,24,100,62,147,1588
Marine Mammal Commission,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Labor,Agency Overall,2024,3414,648,256,183,136,75,63,59,50,44,135,84,157,5304
U.S. Nuclear Waste Technical Review Board,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Postal Service,Agency Overall,2024,21,9,9,5,3,1,1,1,1,0,0,2,11,64
Occupational Safety and Health Review Commission,Agency Overall,2024,7,14,4,2,0,0,0,0,0,0,0,0,0,27
Tennessee Valley Authority,Agency Overall,2024,0,17,17,10,7,8,6,3,0,1,12,3,5,89
Farm Credit Administration,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Railroad Passenger Corporation,Agency Overall,2024,16,3,3,1,2,0,0,1,0,0,5,1,47,79
Office of Personnel Management,Agency Overall,2024,11,9,4,2,2,2,5,2,3,2,1,1,11,55
National Endowment for the Humanities,Agency Overall,2024,0,5,2,6,2,2,1,2,0,0,3,0,0,23
Legal Services Corporation,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inter-American Foundation,Agency Overall,2024,0,0,0,0,0,0,0,1,1,0,0,0,0,2
Federal Election Commission,Agency Overall,2024,273,36,4,3,0,0,0,0,0,0,0,0,0,316
Denali Commission,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Madison Memorial Fellowship Foundation,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Consumer Product Safety Commission,Agency Overall,2024,172,66,83,78,24,14,8,8,5,4,12,19,28,521
Presidio Trust,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Postal Regulatory Commission,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Department of State,Agency Overall,2024,14,1795,739,2004,4365,1412,348,190,173,137,504,138,4748,16567
Federal Housing Finance Agency,Agency Overall,2024,2,3,2,2,5,0,1,2,0,0,3,0,2,22
Small Business Administration,Agency Overall,2024,2,5,2,0,3,0,0,1,0,1,11,0,0,25
Federal Mine Safety and Health Review Commission,Agency Overall,2024,18,8,3,2,2,1,0,0,0,0,1,0,0,35
Office of Government Ethics,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2024,1,4,7,7,9,3,1,2,1,2,4,0,0,41
National Transportation Safety Board,Agency Overall,2024,42,13,11,4,3,5,3,1,4,4,18,12,15,135
Department of Veterans Affairs,Agency Overall,2024,11114,474,198,153,206,3664,2339,331,32,19,54,42,94,18720
United States Institute of Peace,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,3,0,0,3
National Mediation Board,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemical Safety and Hazard Investigation Board,Agency Overall,2024,10,8,3,2,4,2,2,1,1,2,21,23,34,113
National Archives and Records Administration,Agency Overall,2024,124,47,26,11,11,9,15,7,3,9,18,47,2641,2968
Department of Education,Agency Overall,2024,1134,283,114,79,59,73,42,43,33,32,119,97,385,2493
National Endowment for the Arts,Agency Overall,2024,7,13,0,0,0,0,0,0,0,0,0,0,0,20
National Council on Disability,Agency Overall,2024,0,0,1,0,0,0,0,2,0,0,1,0,0,4
National Aeronautics and Space Administration,Agency Overall,2024,430,98,42,18,14,3,8,4,2,4,4,1,1,629
